Season,Episode,Combined,Rating,EpisodeName
1,1,101,8.6,The Sopranos
1,2,102,8.6,46 Long
1,3,103,8.8,"Denial, Anger, Acceptance"
1,4,104,8.8,Meadowlands
1,5,105,8.9,College
1,6,106,8.7,Pax Soprana
1,7,107,8.6,Down Neck
1,8,108,8.8,The Legend of Tennessee Moltisanti
1,9,109,8.7,Boca
1,10,110,8.3,A Hit Is a Hit
1,11,111,8.8,Nobody Knows Anything
1,12,112,9,Isabella
1,13,113,9.1,I Dream of Jeannie Cusamano
2,1,201,8.5,Guy Walks into a Psychiatrist's Office...
2,2,202,8.4,Do Not Resuscitate
2,3,203,8.6,Toodle-Fucking-Oo
2,4,204,8.7,Commendatori
2,5,205,8.7,Big Girls Don't Cry
2,6,206,8.7,The Happy Wanderer
2,7,207,8.7,D-Girl
2,8,208,8.9,Full Leather Jacket
2,9,209,8.8,From Where to Eternity
2,10,210,8.7,Bust Out
2,11,211,8.4,House Arrest
2,12,212,9.2,The Knight in White Satin Armor
2,13,213,9.3,Funhouse
3,1,301,8.7,Mr. Ruggerio's Neighborhood
3,2,302,8.7,"Proshai, Livushka"
3,3,303,8.6,Fortunate Son
3,4,304,9,Employee of the Month
3,5,305,8.7,Another Toothpick
3,6,306,8.7,University
3,7,307,8.6,Second Opinion
3,8,308,8.5,He is Risen
3,9,309,8.4,The Telltale Moozadell
3,10,310,8.6,...To Save Us All from Satan's Power
3,11,311,9.7,Pine Barrens
3,12,312,9.1,Amour Fou
3,13,313,9,Army of One
4,1,401,8.3,For All Debts Public and Private
4,2,402,8.3,No Show
4,3,403,8,Christopher
4,4,404,8.4,The Weight
4,5,405,8.2,Pie-O-My
4,6,406,8.3,Everybody Hurts
4,7,407,8.2,Watching Too Much Television
4,8,408,8.2,Mergers and Acquisitions
4,9,409,9,Whoever Did This
4,10,410,8.7,"The Strong, Silent Type"
4,11,411,8.1,Calling All Cars
4,12,412,8.3,Eloise
4,13,413,8.9,Whitecaps
5,1,501,8.7,Two Tonys
5,2,502,8.6,Rat Pack
5,3,503,8.7,Where's Johnny?
5,4,504,8.6,All Happy Families...
5,5,505,9.1,Irregular Around the Margins
5,6,506,8.4,Sentimental Education
5,7,507,8.3,In Camelot
5,8,508,8.7,Marco Polo
5,9,509,8.8,Unidentified Black Males
5,10,510,8.7,Cold Cuts
5,11,511,8.6,The Test Dream
5,12,512,9.5,Long Term Parking
5,13,513,9.1,All Due Respect
6.1,1,601,9.1,Members Only
6.1,2,602,8.6,Join the Club
6.1,3,603,8.7,Mayham
6.1,4,604,8.5,The Fleshy Part of the Thigh
6.1,5,605,8.8,Mr. & Mrs. John Sacrimoni Request...
6.1,6,606,8.6,Live Free or Die
6.1,7,607,8.4,Luxury Lounge
6.1,8,608,8.4,Johnny Cakes
6.1,9,609,8.4,The Ride
6.1,10,610,8.7,Moe n' Joe
6.1,11,611,8.4,Cold Stones
6.1,12,612,8.9,Kaisha
6.2,13,613,8.8,Soprano Home Movies
6.2,14,614,8.6,Stage 5
6.2,15,615,8.2,Remember When
6.2,16,616,8.8,Chasing It
6.2,17,617,9,Walk Like a Man
6.2,18,618,9,Kennedy and Heidi
6.2,19,619,9.1,The Second Coming
6.2,20,620,9.4,The Blue Comet
6.2,21,621,9.1,Made in America
